SGB136	SGB130	SGB036	SGB063	SGB134	SGB142	SGB154	SGB019	SGB087	SGB034	SGB078	SGB047	SGB183	SGB133	SGB243	SGB105	SGB095	SGB221	SGB044	K23352	K19449	K18979	K18122	K13587	K08679	K07106	K03234	K03073
0.08817195	0.149601	0.045836754	0	0	0.026955416	0.27515706	0	0	1.3344667	0.041037187	0.062048826	0.080580756	0	0.42690134	0.11469484	0.3122649	0.19605847	0.19973527	0.000160888	0.000103851	0.000458983	0.000136345	0.000101823	0.000116173	0.000139803	0.000115676	0.000590295
0.10564489	0.112961076	0	0	0	0.24991286	0.14608972	0	0	0.36988547	0	0	0	0.028274534	0.058688413	0	0.46998972	0.08509967	0.13302515	0.00021602	0.000219621	0.00054538	0.000160481	6.42E-05	0.000138821	0.000179577	0.000148735	0.00055124
0.13699855	0.40176657	0	0	0	0.11951604	0.3629151	0	0	2.227089	0	0	0	0	0.2323453	0	0.6448579	0.06458309	0.2870826	0.000241744	0.000261487	0.000467281	0.000135617	8.79E-05	0.000127173	0.000135218	0.000103296	0.000569495
0.044433177	0.11036553	0	0.18331206	0.101775214	0.04797088	0.13019201	0.35874122	0.1701892	1.3136966	0.033630732	0.16307417	0	0.30403203	0.13581854	0.046627063	0.13048682	0.30474523	0.04513404	0.000106081	0.000119406	0.000362459	3.84E-05	0.000148634	0.000205681	0.000381712	0.00016905	0.000488317
0.10029796	0.28290376	0	0	0	0	0.29853007	0	0	0.38587737	0	0.28476435	0	0	0	0	0.14487387	0.38602358	0.12395362	0.000149843	0.000134131	0.000307357	0.000204159	0.000127344	0.000158868	0.000227386	0.000200961	0.00059121
0.07305407	0.19506358	0.07572424	0.2011096	0.2475546	0	0.10065213	0	0.191958	0.24782407	0	0	0.45919314	0	0.08508068	0.06496721	0.17634323	0.19190694	0.2608692	0.000182158	0.000148549	0.000369748	0.000139255	0.000129727	0.000138926	0.000188546	0.000187415	0.000511667
0.1307515	0.11595087	0	0	0.07157993	0.051423978	0.23104075	0	0	1.4303268	0.038366824	0.05851932	0	0	0	0	0.2889213	0.21121982	0.04475488	0.000223574	0.000179982	0.00039854	0.000133456	0.000177103	0.000173029	0.000288827	0.000148	0.000589941
0	0.04506773	0.25523937	0.17593805	2.095426	0.035010856	0.24257898	0.30432257	0	0.26943994	0.081417724	0	0	0	0	0.070285514	0.044635825	0.45752496	0	0.000251097	0.000140662	0.000424073	0.000161856	0.000143501	0.000131761	0.000188818	0.000199896	0.000583181
0.06817434	0.114784196	0	0	0	0	0.14952014	0.053181455	0	0.2600294	0.032093756	0.03126014	0	0	0	0	0.2830284	0.35421062	0.055914525	0.000226345	0.000221963	0.000443411	0.000187072	0.000117274	0.000133191	0.000178421	0.000118168	0.000584398
0.054557305	0.044059414	0	0	0	0	0.17510043	0	0	2.862848	0	0.033278376	0	0	0	0	0	0.16808198	0	0.00020675	0.000176004	0.000301449	9.05E-05	0.000235876	0.000142188	0.000198751	0.000188057	0.000546461
0.03125737	0.05553591	0	0	0	0	0.087453365	0	0	0.9307227	0	0.02824865	0.07141222	0.06352209	0	0	0.15503938	0.16920996	0.038188517	0.000130852	0.000161563	0.000452939	8.69E-05	0.000117472	0.0001293	0.000201989	0.000120638	0.000565235
0.09643411	0.30050853	0	0	0.045948792	0	0.13274747	0.1475997	0	0.16940875	0	0	0.10577802	0	0	0	0.041982446	0.33605862	0.107859686	0.000147018	0.000157961	0.000459723	0.000133189	0.000155653	0.000173961	0.000282546	0.00019932	0.000481389
0.050256286	0	0	0.047493674	0	0.04797292	0.10356445	0.5907188	0	0.2341804	0	0	0	0	0	0	0	0.59912246	0.02835685	0.000203418	0.000317129	0.000507431	0.00014579	0.000114575	0.000147206	0.000142094	9.97E-05	0.000530411
0.32564092	0.07530781	0	1.6627371	0.18030989	0.085261494	0.12101681	0.08963333	0	1.0401909	0	0.11890402	0.0722919	0	0	0	0	0.27000952	0	0.000232478	0.00022601	0.000482707	0.000200885	0.000113462	0.000160916	0.000190608	0.000105852	0.000554682
0.09157534	0	0	0	0	0.061420325	0.10952882	0.21683843	0	0.07780538	0	0.053756416	0	0	0	0	0.20529649	0.71562237	0.15240954	0.000230353	0.000293	0.000504365	0.000169901	0.000110946	0.000156144	0.00016664	0.000114947	0.000562666
0.069847725	0.2875837	0.02681402	0.044331335	0.1637208	0.059301414	0.16757426	0	0	0.30703312	0	0.22074148	0	0	0	0	1.1333125	0.81309384	0.09225538	0.000197378	0.000256359	0.000486902	0.000152989	6.63E-05	0.00018131	0.000117078	0.000135847	0.000539302
0.06795635	0.63338995	0	0	0.12497054	0.056828212	0.19110559	0	0	0.7286526	0	0.057509243	0.38983303	0.5453742	0	0	0.22316845	0.19055377	0	0.000250144	0.00016433	0.000466212	0.000190484	0.000132615	0.000146277	0.000247999	0.000211384	0.000547432
0.11750834	0.21447569	0	0	0.2623329	0.07800101	0.25906986	0.10556425	0	0.9725207	0	0.16180027	0	0	0	0.02934995	0.19747932	0.43620312	0.06764839	0.000147624	0.000142417	0.000257973	6.85E-05	0.000222744	0.000195523	0.000234917	0.000147164	0.00056262
0.0694218	0.11629109	0	0.7335358	0	0	0.18197261	0	0	0.86949575	0.072930284	0.030777803	0	0	0	0.1309705	0.15917473	0.20772369	0.043083	0.000261968	0.000201725	0.00036633	0.000177572	0.000120779	0.000165782	0.000240595	0.000207004	0.000539694
0.04117999	0.07390545	0	0.118228175	0.05255441	0.028290605	0.056150384	0	0	0.9940384	0	0.047534883	0	0.1002802	0.27229765	0.030937016	0.15627003	0.5151188	0.045929328	0.000219355	0.000220565	0.000423697	0.000152213	0.000102158	0.000157206	0.000191355	0.000166879	0.00051986
0.27703023	1.07273	0	0	0	0.38651848	0.44107923	0	0	0	0.73611736	0	0	0	0	0	0	0	0	6.92E-05	4.77E-05	0.000265936	6.07E-05	0.000178743	7.40E-05	0.000229377	6.46E-05	0.00040183
0.26318768	0.28635344	0	0	0.076339506	0.86119604	0.22210531	0	0	0	0	0	0	0	0	1.58856	0.91417867	0	0	7.06E-05	0.000135746	0.000266522	4.61E-05	6.78E-05	3.49E-05	0.000266269	0.000102124	0.000535964
0.07938293	0.753431	0	0	0	0.24835435	1.4618957	0.07758865	2.6255376	0	0	0	0	0	0	0.054283515	0.27509657	0	0	9.08E-05	0.000101587	0.000211767	7.68E-05	0.000164492	7.84E-05	0.000219208	0.000128984	0.000396256
0.09737583	0.20075652	0.053441573	0	0	0.62817633	0.22235866	0	0	0	0	0	0	0	0	0.049348675	1.8858368	0.036862772	0	0.00010721	9.20E-05	0.000417922	8.23E-05	0.000114927	6.77E-05	0.00023556	7.47E-05	0.000425714
0	0.35541055	0	0	0	0.45822728	0.1251816	0	0.6566221	0	0	0	0	0	0	0.0760873	1.0026016	0	0	9.31E-05	9.46E-05	0.000396207	7.82E-05	0.000162341	8.74E-05	0.00018371	5.38E-05	0.000464405
0	0.6029167	0	0	0	0.30631712	0.114752784	0	0.24736242	0	0	0	0	0	0	0.07264842	0.35321227	0	0	9.05E-05	8.50E-05	0.000346819	6.43E-05	0.000187712	5.77E-05	0.000219837	9.94E-05	0.000446344
0	0.1491762	0	0	0.58029586	0.7521596	0	0.3419677	0	0	0	0	0	0	0	1.590709	0.6772541	0	0	6.98E-05	0.000112502	0.000326891	5.92E-05	0.00016978	7.05E-05	0.000258781	9.01E-05	0.000540843
0	0	0	0	0	0	0	1.6687517	0	0	0	0	0	0	0	0	0	0	0	7.11E-05	0.000107777	0.000336699	4.09E-05	0.000287592	5.49E-05	0.000243538	0.000101334	0.000471372
0.22310998	1.2688537	0	0	0	0.57047015	1.4085153	0	0	0	0	0	0	0	0	0.48766622	0.13207254	0	0	8.95E-05	0.000100418	0.000303056	7.57E-05	0.000170637	6.88E-05	0.000195892	7.33E-05	0.000419569
0.25642806	1.1622488	0	0	0	0.090438366	1.2983214	0.21040201	1.7855842	0	0	0.25233155	0	0	0.10734662	0.47117877	0.5573493	0	0	7.99E-05	8.52E-05	0.00036083	9.78E-05	0.000163537	5.92E-05	0.000229152	8.36E-05	0.000448774
0.14709902	0.6781259	0	0	0	0.3788939	0.9538127	0	0.67912054	0	0	0	0	0	0	0	2.874262	0	0	0.00011935	4.92E-05	0.000319391	8.06E-05	0.000130947	9.19E-05	0.000233202	7.13E-05	0.000395871
0.5017027	1.4559182	0	0	0	0.7738822	0.18760222	0	2.4590323	0	0	0.104784966	0	0	0	0.74954104	0.9663191	0	0	9.73E-05	8.80E-05	0.000230172	8.51E-05	0.000216766	5.58E-05	0.000182178	0.000104991	0.000489842
